1433EPSILON	14-3-3_epsilon
4EBP1	4E-BP1
4EBP1PS65	4E-BP1_pS65
4EBP1PT37T46	4E-BP1_pT37_T46
ACCPS79	ACC_pS79
AKT	Akt
AKTPS473	Akt_pS473
AKTPT308	Akt_pT308
AMPKALPHA	AMPK_alpha
AMPKPT172	AMPK_pT172
Annexin-1-M-V	Annexin-1-M-E
Oxphos-complex-V_subunitb-M-E	ATP5F1B
BAK	Bak
Bap1c-4-M-E	Bap1-c-4-M-E
BAX	Bax
BCL2	Bcl-2
Bcl-xL-R-C	Bcl-X-R-C
BCLXL	Bcl-xL
BECLIN	Beclin
BETACATENIN	beta-Catenin
BID	Bid
BIM	Bim
CJUNPS73	c-Jun_pS73
CKIT	c-Kit
CMETPY1235	c-Met_pY1235
CMYC	c-Myc
CRAF	C-Raf
CRAFPS338	C-Raf_pS338
CASPASE7CLEAVEDD198	Caspase-7_cleavedD198
CAVEOLIN1	Caveolin-1
CD49B	CD49b
CHK1	Chk1
CHK1PS345	Chk1_pS345
CHK2	Chk2
CHK2PT68	Chk2_pT68
CIAP	cIAP
CLAUDIN7	Claudin-7
COLLAGENVI	Collagen_VI
CYCLINB1	Cyclin_B1
CYCLIND1	Cyclin_D1
CYCLINE1	Cyclin_E1
ARHI-M-E	Di-Ras3-M-E
DJ1	DJ-1
DVL3	Dvl3
ECADHERIN	E-Cadherin
EEF2	eEF2
EEF2K	eEF2K
EGFRPY1068	EGFR_pY1068
EGFRPY1173	EGFR_pY1173
EIF4E	eIF4E
ERALPHA	ER-alpha
ERALPHAPS118	ER-alpha_pS118
FIBRONECTIN	Fibronectin
FOXO3A	FOX03a
GSK3ALPHABETA	GSK3-alpha-beta
GSK3ALPHABETAPS21S9	GSK3-alpha-beta_pS21_S9
GYG-Glycogenin1-M-E	GYG-M-E
HER2PY1248	HER2_pY1248
HER3PY1298	HER3_pY1298
JNKPT183Y185	JNK_pT183_pT185
KU80	Ku80
LCK	Lck
MAPKPT202Y204	MAPK_pT202_Y204
MEK1PS217S221	MEK1_pS217_S221
MIG6	MIG-6
MRE11	Mre11
MTOR	mTOR
MTORPS2448	mTOR_pS2448
Myosin-IIa-pS1943-R-V	Myosin-IIa_pS1943
NCADHERIN	N-Cadherin
NFKBP65PS536	NF-kB-p65_pS536
NOTCH1	Notch1
PCADHERIN	P-Cadherin
P27	p27
P27PT157	p27_pT157
P38MAPK	p38_MAPK
P38PT180Y182	p38_pT180_Y182
P53	p53
P70S6K	p70S6K
P70S6KPT389	p70S6K_pT389
P90RSKPT359S363	p90RSK_pT359_S363
PAI1	PAI-1
PARP1-R-V	PARP-R-V
PAXILLIN	Paxillin
CD274-R-E	PD-L1-R-E
PDK1PS241	PDK1_pS241
PI3KP110ALPHA	PI3K-p110-alpha
PKCALPHA	PKC-alpha
PKCALPHAPS657	PKC-alpha_pS657
PKCDELTAPS664	PKC-delta_pS664
PRAS40PT246	PRAS40_pT246
RAD50	Rad50
RAD51	Rad51
RBPS807S811	Rb_pS807_S811
S6PS235S236	S6_pS235_S236
S6PS240S244	S6_pS240_S244
SHCPY317	Shc_pY317
SMAD1	Smad1
SMAD3	Smad3
SMAD4	Smad4
SRC	Src
SRCPY416	Src_pY416
SRCPY527	Src_pY527
STAT3PY705	STAT3_pY705
STAT5ALPHA	STAT5-alpha
STATHMIN	Stathmin
SYK	Syk
TUBERIN	Tuberin
YAPPS127	YAP_pS127
YB1	YB-1
YB1PS102	YB-1_pS102
Complex-II_subunit30-M-V	SDHB-M-V
DIRAS3-M-E	Di-Ras3-M-E
