geneTypeIndex	geneType	geneSupertype
0	unprocessed_pseudogene	Pseudo
1	transcribed_unprocessed_pseudogene	Pseudo
2	transcribed_processed_pseudogene	Pseudo
3	sense_intronic	Others
4	pseudogene	Pseudo
5	protein_coding	Coding
6	processed_transcript	Others
7	processed_pseudogene	Pseudo
8	polymorphic_pseudogene	Pseudo
9	miRNA	MiRNA
10	lincRNA	LincRNA
11	antisense_RNA	Others
12	TR_locus	IgtrGene
13	TR_V_pseudogene	IgtrPseudoGene
14	TR_V_gene	IgtrGene
15	TR_J_pseudogene	IgtrPseudoGene
16	TR_J_gene	IgtrGene
17	TR_D_gene	IgtrGene
18	TR_C_gene	IgtrGene
19	IG_pseudogene	IgtrPseudoGene
20	IG_locus	IgtrGene
21	IG_V_pseudogene	IgtrPseudoGene
22	IG_V_gene	IgtrGene
23	IG_J_pseudogene	IgtrPseudoGene
24	IG_J_gene	IgtrGene
25	IG_D_gene	IgtrGene
26	IG_C_pseudogene	IgtrPseudoGene
27	IG_C_gene	IgtrGene
28	transcribed_unitary_pseudogene	Pseudo
29	nonsense_mediated_decay	Others
30	retained_intron	Others
31	translated_processed_pseudogene	Pseudo
32	macro_lncRNA	LincRNA
